id,title,abstract,authors,year,venue,search_string,v1_decision,v1_reason
68,Rug: Turbo Llm for Rust Unit Test Generation,"Unit testing improves software quality by evaluating isolated sections of the program. This approach alleviates the need for comprehensive program-wide testing and confines the potential error scope within the software. However, unit test development is time-consuming, requiring developers to create appropriate test contexts and determine input values to cover different code regions. This problem is particularly pronounced in Rust due to its intricate type system, making traditional unit test generation tools ineffective in Rust projects. Recently, large language models (LLMs) have demonstrated their proficiency in understanding programming language and completing software engineering tasks. However, merely prompting LLMs with a basic prompt like “generate unit test for the following source code” often results in code with compilation errors. In addition, LLM-generated unit tests often have limited test coverage. To bridge this gap and harness the capabilities of LLM, we design and implement RUG, an end-to-end solution to automatically generate the unit test for Rust projects. To help LLM's generated test pass Rust strict compilation checks, RUG designs a semantic-aware bottom-up approach to divide the context construction problem into dependent sub-problems. It solves these sub-problems sequentially using an LLM and merges them to a complete context. To increase test coverage, RUG integrates coverage-guided fuzzing with LLM to prepare fuzzing harnesses. Applying RUG on 17 real-world Rust programs (average 24,937 \text{LoC}), we show that RUG can achieve a high code coverage, up to \mathbf{7 1. 3 7 \%}, closely comparable to human effort (\mathbf{7 3. 1 8 \%}). We submitted 113 unit tests generated by RUG covering the new code: 53 of them have been accepted, 17 rejected, and 43 are pending for review. Published in: 2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE) Date of Conference: 26 April 2025 - 06 May 2025 Date Added to IEEE Xplore: 23 June 2025 ISBN Information: ISSN Information: DOI: 10.1109/ICSE55347.2025.00097 Publisher: IEEE Conference Location: Ottawa, ON, Canada Funding Agency:",Xiang Cheng; Fan Sang; Yizhuo Zhai; Xiaokuan Zhang; Taesoo Kim,2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",EXCLUDE,"EC-O – sinh unit test cho Rust, không thuộc Java/Python theo IC-P"
69,LLM-Guided Initial Seed Selection for Black-Box IoT Fuzzing to Enhance Vulnerability Detection,"Fuzzing is a vulnerability testing approach that generates a large number of test cases based on initial values (initial seeds), sends them to the target device, and attempts to trigger unexpected behaviors. Fuzzing of IoT devices is one of the effective ways for detecting unknown vulnerabilities. From the perspective of testing efficiency, the set of initial seeds should be as small as possible while ensuring sufficient exploration of the input space. Conventional seed selection methods often rely on source code coverage, but this is difficult to apply in the context of IoT devices, where its source code is frequently unavailable. In this paper, we propose a method that leverages large language models (LLMs) to infer the internal specifications of IoT devices from communication logs and to select effective initial seeds among candidate seeds, even when the devices are black-box and neither source code nor internal states are accessible. Experimental results show that the proposed method successfully selected 15 initial seeds from 63 candidates and detected more vulnerabilities in a shorter time compared to using all seeds or random selection. Published in: 2025 Computing, Communications and IoT Applications (ComComAp) Date of Conference: 14-17 December 2025 Date Added to IEEE Xplore: 29 January 2026 ISBN Information: DOI: 10.1109/ComComAp68359.2025.11353192 Publisher: IEEE Conference Location: Madrid, Spain Funding Agency:",Hibiki Nakanishi; Kento Hasegawa; Seira Hidano; Kazuhide Fukushima; Kazuo Hashimoto; Nozomu Togawa,2025,"2025 Computing, Communications and IoT Applications (ComComAp)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",EXCLUDE,"EC-O – chọn fuzzing seed cho IoT bằng LLM, không phải unit test generation"
70,Enhancing LLM’s Ability to Generate More Repository-Aware Unit Tests Through Precise Context Injection,"Recently, Large Language Models (LLMs) have gained attention for their ability to handle a broad range of tasks, including unit test generation. Despite their success, LLMs may exhibit hallucinations when generating unit tests for focal methods or functions due to their lack of awareness regarding the project’s global context. While many studies have explored the role of context, they often extract fixed patterns of context for different models and focal methods, which may not be suitable for all generation processes (e.g., excessive irrelevant context could lead to redundancy, preventing the model from focusing on essential information).To overcome this limitation, we propose RATester, which integrates language servers to provide dynamic definition lookup to assist the LLM. When RATester encounters an unfamiliar identifier, it first leverages language servers (e.g., Gopls) to fetch relevant definitions and documentation comments, and then uses this global knowledge to guide the LLM. We evaluate the effectiveness and efficiency of RATester by constructing a new Golang dataset from real-world projects. On our Golang dataset, RATester achieves an average line coverage of 26.25%, representing an improvement of 9.10% to 165.69% over the baselines. In mutation testing, RATester shows superior performance by successfully killing 18 to 147 more mutants than the baselines. Additionally, our model-agnostic and generalizability analysis confirms RATester’s effectiveness across different models, programming languages, and model scales, validating its broad applicability. Published in: 2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE) Date of Conference: 16-20 November 2025 Date Added to IEEE Xplore: 28 January 2026 ISBN Information: ISSN Information: DOI: 10.1109/ASE63991.2025.00058 Publisher: IEEE Conference Location: Seoul, Korea, Republic of Funding Agency:",Xin Yin; Chao Ni; Xinrui Li; Liushan Chen; Guojun Ma; Xiaohu Yang,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
71,Generating Test Cases with Large Language Model: Frameworks and Challenges,"Software testing is a fundamental stage in the Software Development Life Cycle (SDLC), indispensable for detecting errors and lowering overall maintenance costs. Automated test generation tools aim to simplify test creation by producing effective, bug-revealing test cases. Recently, Large Language Models (LLMs) trained on code have been applied to unit test generation, showing promising improvements in readability and coverage. Various frameworks have been discussed in this paper, each using LLMs to generate test cases through two different approaches: first, fine-tuning LLMs to generate test cases, and second, prompting LLMs to create test cases. In this study, we review and analyze these frameworks and outline the steps they follow to generate test cases. In addition, we compare their strengths, limitations, highlighting both their similarities and differences to provide insights into current trends and future directions in LLM-based test case generation. Published in: 2025 IEEE International Conference on E-Business Engineering (ICEBE) Date of Conference: 10-12 November 2025 Date Added to IEEE Xplore: 22 December 2025 ISBN Information: ISSN Information: DOI: 10.1109/ICEBE68123.2025.00041 Publisher: IEEE Conference Location: Buraydah, Al-Qassim, Saudi Arabia",Mahnaz Reza Hosseini; Naeem Khalid Janjua; Ahmad Mohsin; Saeed Ur Rahman,2025,2025 IEEE International Conference on E-Business Engineering (ICEBE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",EXCLUDE,EC-N – survey/framework paper về challenges của LLM-based software testing; không có empirical evaluation gốc
72,Intent Based E2E Automated Test Case Generation for Web Applications Using LLM,"Ensuring reliability in dynamic web applications is like hitting a moving target, where content constantly changes in response to user interactions and real-time updates. Therefore, testing these applications automatically remains challenging. Additionally, elements, which render graphical content outside the DOM and lack semantic metadata, makes it difficult to automatically extract and validate their content, leading to incomplete testing in existing methods. This paper proposes a novel approach named E2E-TestGen, which based on intent-driven testing, leverages Large Language Models (LLMs). E2ETestGen interacts dynamically with the DOM by triggering JavaScript-driven updates and tracking real-time state transitions, ensuring comprehensive validation across all dynamic elements and interactions to improve coverage. For canvas-rendered graphical components, we integrate an image-based object detection and text extraction module to extract meaningful data from visual content, enabling the generation of realistic test case scenarios guided by user intent. The experiments on multiple open-source web applications are conducted, which show E2E-TestGen achieving 88.5% and 80.1% code and branch coverage, respectively, along with a 27.91% improvement in fault detection over baseline approaches. Published in: 2025 IEEE 49th Annual Computers, Software, and Applications Conference (COMPSAC) Date of Conference: 08-11 July 2025 Date Added to IEEE Xplore: 26 August 2025 ISBN Information: ISSN Information: DOI: 10.1109/COMPSAC65507.2025.00161 Publisher: IEEE Conference Location: Toronto, ON, Canada",Zain Ul Abideen; Guo Junxia,2025,"2025 IEEE 49th Annual Computers, Software, and Applications Conference (COMPSAC)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",EXCLUDE,"EC-O – sinh test E2E tự động cho web application (UI/functional testing), không phải unit test generation"
73,Quality Evaluation of LLM-based Generated Test Case: A Literature Review,"Large Language Models (LLMs) are increasingly applied in automated test case generation. Unlike traditional testing, quality evaluation of their outputs requires novel approaches due to the non-deterministic nature of LLMs and the risks of bias and hallucination. This study conducts a systematic literature review of 25 publications (2020–2025) to examine quality criteria, evaluation metrics, and heuristics in LLM -based test case generation. Findings show that correctness/accuracy and coverage metrics remain dominant, yet there is a growing focus on bias and hallucination detection. Effective heuristics include human-in-the-loop evaluation, gold standard comparison, and multi-agent frameworks. The review highlights emerging frameworks integrating ethical and safety criteria, underscoring the need for comprehensive evaluation to ensure reliability and fairness in automated test generation. Published in: 2025 IEEE International Conference on Data and Software Engineering (ICoDSE) Date of Conference: 28-29 October 2025 Date Added to IEEE Xplore: 28 January 2026 ISBN Information: ISSN Information: DOI: 10.1109/ICoDSE68111.2025.11351763 Publisher: IEEE Conference Location: Batam, Indonesia",Novi Setiani; Alifia,2025,2025 IEEE International Conference on Data and Software Engineering (ICoDSE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",EXCLUDE,EC-N – literature review/mapping study paper; không có empirical evaluation gốc
74,Clarifying Semantics of In-Context Examples for Unit Test Generation,"Recent advances in large language models (LLMs) have enabled promising performance in unit test generation through in-context learning (ICL). However, the quality of in-context examples significantly influences the effectiveness of generated tests—poorly structured or semantically unclear test examples often lead to suboptimal outputs. In this paper, we propose CLAST, a novel technique that systematically refines unit tests to improve their semantic clarity, thereby enhancing their utility as in-context examples. The approach decomposes complex tests into logically clearer ones and improves semantic clarity through a combination of program analysis and LLM-based rewriting. We evaluated CLAST on four open-source and three industrial projects. The results demonstrate that CLAST largely outperforms UTgen, the state-of-the-art refinement technique, in both preserving test effectiveness and enhancing semantic clarity. Specifically, CLAST fully retains the original effectiveness of unit tests, while UTgen reduces compilation success rate (CSR), pass rate (PR), test coverage (Cov), and mutation score (MS) by an average of 12.90%, 35.82%, 4.65%, and 5.07%, respectively. Over 85.33% of participants in our user study preferred the semantic clarity of CLAST-refined tests. Notably, incorporating CLAST-refined tests as examples effectively improves ICL-based unit test generation approaches such as RAGGen and TELPA, resulting in an average increase of 25.97% in CSR, 28.22% in PR, and 45.99% in Cov for generated tests, compared to incorporating UTgen-refined tests. The insights from the follow-up user study not only reinforce CLAST’s potential impact in software testing practice but also illuminate avenues for future research. Published in: 2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE) Date of Conference: 16-20 November 2025 Date Added to IEEE Xplore: 28 January 2026 ISBN Information: ISSN Information: DOI: 10.1109/ASE63991.2025.00250 Publisher: IEEE Conference Location: Seoul, Korea, Republic of Funding Agency:",Chen Yang; Lin Yang; Ziqi Wang; Dong Wang; Jianyi Zhou; Junjie Chen,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
75,Enhancing Test Case Generation for Fuzzing Deep Learning Libraries Using Few-Shot Learning,"With the rise of deep learning applications, numerous fuzzing tools have emerged to improve their security. However, traditional fuzzers frequently produce test cases that violate constraints and result in code branch loss. LLM-based fuzzers often lack effective guidance and high-quality training datasets, which makes it difficult for test cases to meet the standards used in fuzzing. This article introduces ALF, a new fuzzing method designed for deep learning libraries that integrates Few-Shot Learning (FSL) with the advanced code generation capabilities of LLMs. ALF autonomously generates high-quality test cases, which effectively solves the limitations of traditional fuzzing methods, especially in terms of test case diversity and semantic validity. At the same time, by adopting an adaptive feedback scheduling algorithm based on the multi-armed bandit method, ALF dynamically adjusts its test case generation strategy based on real-time execution coverage data. Comprehensive experimental evaluations reveal that ALF enhances the syntax pass rate by at least 10 % in the PyTorch library and achieves a 20 % increase in code coverage with fewer mutations compared to traditional fuzz testing techniques. In the TensorFlow library, coverage improves by over 25 %. These results underscore ALF's effectiveness in generating valid and diverse test cases for deep learning libraries while highlighting the challenges of utilizing LLMs in AI framework testing, such as knowledge gaps, the randomness of outputs, and the need for precise prompt engineering. Published in: 2025 IEEE 10th International Conference on Data Science in Cyberspace (DSC) Date of Conference: 15-17 August 2025 Date Added to IEEE Xplore: 28 January 2026 ISBN Information: DOI: 10.1109/DSC67331.2025.00089 Publisher: IEEE Conference Location: Baoding, China",Bing Yang; Senyi Li; Junqiang Li; Kaiyu Du; Hongfang Yu; Jian Sun; Long Luo,2025,2025 IEEE 10th International Conference on Data Science in Cyberspace (DSC),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",EXCLUDE,"EC-O – fuzz testing cho DL libraries, không phải unit test generation"
76,FuzzCoder: Code Large Language Model-Based Fuzz Testing for Industrial IoT Programs,"Fuzz testing is an dynamic program analysis technique designed for discovering vulnerabilities in IoT systems. The core goal is to deliberately feed maliciously crafted inputs into an IoT device or service, triggering vulnerabilities such as system crashes, buffer overflow exploits, and memory corruption, etc. Efficiently generating malicious inputs remains challenging, with leading methods often relying on randomly mutating existing valid inputs. In this work, we propose to adopt fine-tuned large language models (FuzzCoder) to learn patterns in the input files from successful attacks to guide future fuzzing explorations. Specifically, we develop a framework that leverages code large language models (LLMs) to guide the mutation process to perform meaningful input mutations. We formulate the mutation process as the sequence-to-sequence modeling, where LLM receives a sequence of bytes and outputs the mutated byte sequence. FuzzCoder is fine-tuned on our created instruction dataset (FuzzInstruct), where the successful fuzzing history is collected from the heuristic fuzzing tool. FuzzCoder can predict mutation positions and strategies for input files to trigger abnormal behaviors of the program. Most importantly, the experiment reveals results that FuzzCoder achieves better fuzzing performance compared to traditional and other American fuzzy lop (AFL)-based fuzzers, such as AFL, AFL++, AFLSmart, etc. On average, FuzzCoder achieves an improvement in code coverage of more than 20%, along with a significant increase in the number of crashes. Published in: IEEE Internet of Things Journal ( Volume: 12, Issue: 18, 15 September 2025) Page(s): 36842 - 36851 Date of Publication: 09 June 2025 ISSN Information: DOI: 10.1109/JIOT.2025.3577602 Publisher: IEEE Funding Agency:",Liqun Yang; Chaoren Wei; Jian Yang; Wanxu Xia; Yuze Yang; Yang Luo; Dusit Niyato; Liang Sun; Zhiquan Liu,2025,IEEE Internet of Things Journal,"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",EXCLUDE,"EC-O – fuzz testing cho industrial IoT programs, không phải unit test generation"
77,GrammLLM: Grammar-Guided LLM Test Generation for Compiler Validation,"We present a method for generating comprehensive test cases of a specific language-construct by leveraging grammar rules defined in a Language Reference Manual (LRM). The approach begins by analyzing Backus-Naur Form (BNF) grammar representation, then constructing a graphical traversal that captures all relevant paths for the targeted feature. This graph-based model illustrates every node and transitional path governed by the feature's grammar rules, enabling a clear visualization of feature behaviour and potential edge cases. We then employ a Large Language Model (LLM) to automatically propose scenarios that exhaustively cover these paths. Finally, these scenarios are passed through another Large Language Model (LLM) to implement these scenarios. Our method ensures thorough coverage and highlights corner cases that can be overlooked by traditional testing approaches. The resulting flow not only streamlines the testing and validation process for programming language features but also provides a flexible framework for verifying new or evolving functionalities. Published in: 2025 37th International Conference on Microelectronics (ICM) Date of Conference: 14-17 December 2025 Date Added to IEEE Xplore: 12 January 2026 ISBN Information: ISSN Information: DOI: 10.1109/ICM66518.2025.11322450 Publisher: IEEE Conference Location: Cairo, Egypt",Mohamed Gamal Talaat; Mostafa Hassan; Mohamed Sayed; Mohanad Mohamed; Islam Ahmed,2025,2025 37th International Conference on Microelectronics (ICM),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",EXCLUDE,"EC-O – compiler validation/fuzzing định hướng ngữ pháp (compiler testing), không phải unit test generation"
78,Mutant-Driven Test Generation for Ethereum Smart Contracts via LLMs,"Bugs in Solidity smart contracts caused millions of dollars in losses in the past year alone. Mutation testing can expose weaknesses in test suites that simpler coverage metrics often miss, but the effort required to generate test cases for live mutants remains a major barrier to adoption. To address this, we present Alchemist, a framework that generates test cases from Solidity mutants via LLMs. Alchemist incorporates the scientific method into its test generation process, enabling the systematic refinement of test cases through hypotheses. Evaluation on Solidity projects demonstrates that this method improves test quality over direct prompting while reducing developer effort. Published in: 2025 IEEE International Conference on Artificial Intelligence Testing (AITest) Date of Conference: 21-24 July 2025 Date Added to IEEE Xplore: 19 August 2025 ISBN Information: ISSN Information: DOI: 10.1109/AITest66680.2025.00033 Publisher: IEEE Conference Location: Tucson, AZ, USA",Morena Barboni; Filippo Lampa; Andrea Morichetta; Andrea Polini; Edward Zulkoski,2025,2025 IEEE International Conference on Artificial Intelligence Testing (AITest),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",EXCLUDE,"EC-O – sinh test cho Ethereum smart contracts (Solidity), không thuộc Java/Python"
79,A Novel Approach to Test Case Generation in Software Testing Using Pre-Trained Large Language Models,"The emergence of Large Language Models (LLMs) has revolutionized software engineering due to their ability to understand and generate natural language. Current approaches to test case automation using LLMs, relying solely on focal methods or text, struggle to capture expected behaviors, edge cases, and errors, and are poorly suited for Test-Driven Development (TDD). In this context, we propose an approach that combines text and focal methods for test case generation, using comments within the code alongside the logic of the target method. By leveraging the LLaMA 3-8B model, prompt engineering techniques, and evaluation with an LLM acting as a judge, our method aims to automate and improve test case generation. Tested on open-source projects, it successfully generated 7,606 test cases, achieving a 97% syntax correction rate. Published in: 2025 12th International Conference on Wireless Networks and Mobile Communications (WINCOM) Date of Conference: 25-27 November 2025 Date Added to IEEE Xplore: 31 December 2025 ISBN Information: ISSN Information: DOI: 10.1109/WINCOM65874.2025.11313396 Publisher: IEEE Conference Location: Riyadh, Saudi Arabia",Moughit Imane; Hafidi Imad; Mouhassine Najib; Moughit Mohamed,2025,2025 12th International Conference on Wireless Networks and Mobile Communications (WINCOM),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
80,CAMUS: Context-Aware Neural Mutation Selection,"Mutation analysis is a fundamental technique in software engineering, playing a vital role in software testing and debugging. It introduces small artificial faults (mutants) into a program to simulate realistic defects. These mutants are systematically injected and then leveraged in downstream tasks such as mutation testing, mutation-based fault localization (MBFL), and mutation-based test case prioritization (MBTCP). However, all of these applications require generating and executing a large number of mutants, leading to substantial computational overhead. This scalability issue significantly limits the applicability of mutation analysis to large-scale software systems. To address this challenge, we propose CAMUS, a context-aware neural mutation selection approach. CAMUS models each mutation and its surrounding context as a graph enriched with AST hierarchy and type information. It then employs an encoder with self-attention mechanisms to produce embeddings, from which the selection probability of each mutant is predicted. We evaluate CAMUS on three downstream tasks, i.e., mutation testing, MBFL, and MBTCP, by comparing it with state-of-the-art mutation selection techniques, including the recent large language model DeepSeek-v3. Experiments are conducted on the Defects4J 2.0 and ConDefects benchmarks. Our results show that CAMUS consistently outperforms existing methods across a wide range of mutation retention rates. In mutation testing, CAMUS achieves over 95% accuracy using only 50% of the mutants. In MBTCP, it reaches near-optimal prioritization performance with as little as 5% of the mutants, demonstrating its strong efficiency and effectiveness. Published in: 2025 32nd Asia-Pacific Software Engineering Conference (APSEC) Date of Conference: 02-05 December 2025 Date Added to IEEE Xplore: 24 February 2026 ISBN Information: ISSN Information: DOI: 10.1109/APSEC66846.2025.00013 Publisher: IEEE Conference Location: Macau, China Funding Agency:",Mingda Chen; Bo Wang; Youfang Lin; Jie M. Zhang,2025,2025 32nd Asia-Pacific Software Engineering Conference (APSEC),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",EXCLUDE,"EC-O – chọn mutation ngữ cảnh (context-aware neural mutation testing), không phải unit test generation"
81,An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation,"Unit tests play a key role in ensuring the correctness of software. However, manually creating unit tests is a laborious task, motivating the need for automation. Large Language Models (LLMs) have recently been applied to various aspects of software development, including their suggested use for automated generation of unit tests, but while requiring additional training or few-shot learning on examples of existing tests. This paper presents a large-scale empirical evaluation on the effectiveness of LLMs for automated unit test generation without requiring additional training or manual effort. Concretely, we consider an approach where the LLM is provided with prompts that include the signature and implementation of a function under test, along with usage examples extracted from documentation. Furthermore, if a generated test fails, our approach attempts to generate a new test that fixes the problem by re-prompting the model with the failing test and error message. We implement our approach in TestPilot, an adaptive LLM-based test generation tool for JavaScript that automatically generates unit tests for the methods in a given project's API. We evaluate TestPilot using OpenAI's gpt3.5-turbo LLM on 25 npm packages with a total of 1,684 API functions. The generated tests achieve a median statement coverage of 70.2% and branch coverage of 52.8%. In contrast, the state-of-the feedback-directed JavaScript test generation technique, Nessie, achieves only 51.3% statement coverage and 25.6% branch coverage. Furthermore, experiments with excluding parts of the information included in the prompts show that all components contribute towards the generation of effective test suites. We also find that 92.8% of TestPilot's generated tests have $\leq$ 50% similarity with existing tests (as measured by normalized edit distance), with none of them being exact copies. Finally, we run TestPilot with two additional LLMs, OpenAI's older code-cushman-002 LLM and StarCoder, an LLM for which the training process is publicly documented. Overall, we observed similar results with the former (68.2% median statement coverage), and somewhat worse results with the latter (54.0% median statement coverage), suggesting that the effectiveness of the approach is influenced by the size and training set of the LLM, but does not fundamentally depend on the specific model. Show Less Published in: IEEE Transactions on Software Engineering ( Volume: 50, Issue: 1, January 2024) Page(s): 85 - 105 Date of Publication: 28 November 2023 ISSN Information: DOI: 10.1109/TSE.2023.3334955 Publisher: IEEE Funding Agency:",Max Schäfer; Sarah Nadi; Aryaz Eghbali; Frank Tip,2024,IEEE Transactions on Software Engineering,"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
82,TAM-Eval: Evaluating LLMs for Automated Unit Test Maintenance,"While Large Language Models (LLMs) have shown promise in software engineering, their application to unit testing remains largely confined to isolated test generation or oracle prediction, neglecting the broader challenge of test suite maintenance. We introduce TAM-Eval (Test Automated Maintenance Evaluation), a framework and benchmark designed to evaluate model performance across three core test maintenance scenarios: creation, repair, and updating of test suites. Unlike prior work limited to function-level tasks, TAM-Eval operates at the test file level, while maintaining access to full repository context during isolated evaluation, better reflecting real-world maintenance workflows. Our benchmark comprises 1,539 automatically extracted and validated scenarios from Python, Java, and Go projects. TAMEval supports system-agnostic evaluation of LLMs, using a reference-free protocol based on test suite pass rate, code coverage, and mutation testing. Empirical results indicate that state-of-the-art LLMs have limited capabilities in realistic test maintenance processes and yield only marginal improvements in test effectiveness. We release TAM-Eval as an open-source framework to support future research in automated software testing. Our data and code are available at https://github.com/trndcenter/TAM-Eval. Published in: 2026 IEEE International Conference on Software Analysis, Evolution and Reengineering - Companion (SANER-C) Date of Conference: 17-20 March 2026 Date Added to IEEE Xplore: 06 May 2026 ISBN Information: DOI: 10.1109/SANER-C67878.2026.00057 Publisher: IEEE Conference Location: Limassol, Cyprus",Elena Bruches; Vadim Alperovich; Dari Baturova; Roman Derunets; Daniil Grebenkin; Georgy Mkrtchyan; Oleg Sedukhin; Mikhail Klementev; Ivan Bondarenko; Nikolay Bushkov; Stanislav Moiseev,2026,"2026 IEEE International Conference on Software Analysis, Evolution and Reengineering - Companion (SANER-C)","(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",EXCLUDE,"EC-O – framework đánh giá bảo trì unit test (TAM-Eval), không phải sinh test"
83,Unit Test Update through LLM-Driven Context Collection and Error-Type-Aware Refinement,"Unit testing is critical for ensuring software quality and software system stability. The current practice of manually maintaining unit tests suffers from low efficiency and the risk of delayed or overlooked fixes. Therefore, an automated approach is required to instantly update unit tests, with the capability to both repair and enhance unit tests. However, existing automated test maintenance methods primarily focus on repairing broken tests, neglecting the scenario of enhancing existing tests to verify new functionality. Meanwhile, due to their reliance on rule-based context collection and the lack of verification mechanisms, existing approaches struggle to handle complex code changes and often produce test cases with low correctness.To address these challenges, we propose TestUpdater, a novel Large Language Model (LLM) based approach that enables automated just-in-time test updates in response to production code changes. By emulating the reasoning process of developers, TestUpdater first leverages the LLM to analyze code changes and identify relevant context, which it then extracts and filters. This LLM-driven context collector can flexibly gather accurate and sufficient context, enabling better handling of complex code changes. Then, through carefully designed prompts, TestUpdater guides the LLM step by step to handle various types of code changes and introduce new dependencies, enabling both the repair of broken tests and the enhancement of tests. Finally, emulating the debugging process, we introduce an error-type-aware iterative refinement mechanism that executes the LLM-updated tests and repairs failures, which significantly improves the overall correctness of test updates.Since existing test repair datasets lack scenarios of test enhancement, we further construct a new benchmark, Updates4J, with 195 real-world samples from 7 projects, enabling execution-based evaluation of test updates. Experimental results show that TestUpdater achieves a compilation pass rate of 94.4% and a test pass rate of 86.7%, outperforming the state-of-the-art method Synter by 15.9% and 20.0%, respectively. Furthermore, TestUpdater exhibits 12.9% higher branch coverage and 15.2% greater line coverage than Synter. Show Less Published in: 2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE) Date of Conference: 16-20 November 2025 Date Added to IEEE Xplore: 28 January 2026 ISBN Information: ISSN Information: DOI: 10.1109/ASE63991.2025.00206 Publisher: IEEE Conference Location: Seoul, Korea, Republic of Funding Agency:",Yuanhe Zhang; Zhiquan Yang; Shengyi Pan; Zhongxin Liu,2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",EXCLUDE,"EC-O – cập nhật/co-evolution unit test theo thay đổi source code, không phải sinh test"
84,From Heuristics to Intelligence: Large Language Model-Driven Test Case Generation,"Large language models (LLMs) open new opportunities for software testing and assurance, but it is still unclear how they can be most effectively used. This article examines recent research on LLMs, along with current challenges. Published in: Computer ( Volume: 58, Issue: 12, December 2025) Page(s): 130 - 136 Date of Publication: 09 December 2025 ISSN Information: DOI: 10.1109/MC.2025.3609478 Publisher: IEEE",Antonio Mastropaolo; Rick Kuhn; Jeffrey Voas,2025,Computer,"(""large language model"" OR LLM OR GPT-4) AND (""unit test"" OR ""test case"") AND (""branch coverage"" OR ""code coverage"" OR ""mutation score"" OR ""mutation testing"")",INCLUDE,IC-L; IC-Y; IC-T; IC-P; IC-I; IC-E
