id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
139,CRISPE: Semantic-Guided Execution Planning and Dynamic Reasoning for Enhancing Code Coverage Prediction,"Dhulipala, Hridya; Yadavally, Aashish; Patel, Smit Soneshbhai; Nguyen, Tien N.",2025,Proceedings of the ACM on Software Engineering,"String A, String B, String C",EXCLUDE,"EC-O - Dự đoán độ bao phủ mã nguồn, không phải sinh unit test case",x,
140,Can LLMs Replace Human Evaluators? An Empirical Study of LLM-as-a-Judge in Software Engineering,"Wang, Ruiqi; Guo, Jiyu; Gao, Cuiyun; Fan, Guodong; Chong, Chun Yong; Xia, Xin",2025,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Nghiên cứu về LLM làm giám khảo đánh giá tác vụ SE tổng quát,x,
141,Can Large Language Models Transform Natural Language Intent into Formal Method Postconditions?,"Endres, Madeline; Fakhoury, Sarah; Chakraborty, Saikat; Lahiri, Shuvendu K.",2024,Proceedings of the ACM on Software Engineering,"String A, String B",INCLUDE,"IC-P, IC-I, IC-E (Chuyển đổi ý định sang unit test assertion/postcondition)",EXCLUDE,"EC-O: Tác vụ chính là sinh postconditions tĩnh (mệnh đề logic assert), không phải sinh test case/test input"
142,Causality-Aided Evaluation and Explanation of Large Language Model-Based Code Generation,"Ji, Zhenlan; Ma, Pingchuan; Li, Zongjie; Wang, Zhaoyu; Wang, Shuai",2025,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Đánh giá và giải thích khả năng sinh mã bằng phân tích nhân quả,x,
143,Causality-Driven Test Case Minimisation for Cyber-Physical Systems,"Foster, Michael; Poskitt, Christopher M.; Latimer, Nicholas R.; Walkinshaw, Neil; Somers, Richard; Hierons, Robert M.",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Giảm thiểu test case cho hệ thống thực-ảo (CPS),x,
144,Chain of Targeted Verification Questions to Improve the Reliability of Code Generated by LLMs,"Kouemo Ngassom, Sylvain; Moradi Dakhel, Arghavan; Tambon, Florian; Khomh, Foutse",2024,Proceedings of the 1st ACM International Conference on AI-Powered Software,String B,EXCLUDE,EC-O - Tự sửa lỗi cho mã nguồn được sinh (Self-refinement),x,
145,ChangeGuard: Validating Code Changes via Pairwise Learning-Guided Execution,"Gröninger, Lars; Souza, Beatriz; Pradel, Michael",2025,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Xác thực thay đổi mã nguồn qua so sánh hành vi thực thi,x,
146,ChatDBG: Augmenting Debugging with Large Language Models,"Levin, Kyla H.; Van Kempen, Nicolas; Berger, Emery D.; Freund, Stephen N.",2025,Proceedings of the ACM on Software Engineering,String B,EXCLUDE,EC-O - Trợ lý gỡ lỗi (Debugging assistant),x,
147,ChatUniTest: A Framework for LLM-Based Test Generation,"Chen, Yinghao; Hu, Zehao; Zhi, Chen; Han, Junxiao; Deng, Shuiguang; Yin, Jianwei",2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,String A,INCLUDE,"IC-P, IC-I, IC-E (Đúng chủ đề khung làm việc sinh unit test bằng LLM cho Java/Python)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
148,ClarifyGPT: A Framework for Enhancing LLM-Based Code Generation via Requirements Clarification,"Mu, Fangwen; Shi, Lin; Wang, Song; Yu, Zhuohao; Zhang, Binquan; Wang, ChenXue; Liu, Shichao; Wang, Qing",2024,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Cải thiện sinh mã nguồn qua làm rõ yêu cầu,x,
149,"Clean Code, Better Models: Enhancing LLM Performance with Smell-Cleaned Dataset","Xue, Zhipeng; Zhang, Xiaoting; Gao, Zhipeng; Hu, Xing; Gao, Shan; Xia, Xin; Li, Shanping",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Làm sạch code smell trong tập dữ liệu huấn luyện,x,
150,"CoEdPilot: Recommending Code Edits with Learned Prior Edit Relevance, Project-wise Awareness, and Interactive Nature","Liu, Chenyan; Cai, Yufan; Lin, Yun; Huang, Yuhuan; Pei, Yunrui; Jiang, Bo; Yang, Ping; Dong, Jin Song; Mei, Hong",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,EXCLUDE,EC-O - Gợi ý chỉnh sửa mã nguồn (Code Edits),x,
151,Code LLMs Still Fall Short of Top Programmers: Evaluating Algorithmic Code Generation Through Computational Thinking,"Chen, Shisong; Zhou, Ziyu; Zhao, Yicong; Yang, Chengyi; Li, Zhixu; Xiao, Yanghua; Lin, Xin; Meng, Xiaojun; Wei, Jiansheng; Liu, Kuien",2026,Proceedings of the Nineteenth ACM International Conference on Web Search and Data Mining,String A,EXCLUDE,EC-O - Đánh giá khả năng sinh mã giải thuật (Algorithmic code generation),x,
152,Code on Demand: A Comparative Analysis of the Efficiency Understandability and Self-Correction Capability of Copilot ChatGPT and Gemini,"Batista, Samuel Silvestre; Branco, Bruno; Castro, Otávio; Avelino, Guilherme",2024,Proceedings of the XXIII Brazilian Symposium on Software Quality,String A,EXCLUDE,EC-O - Đánh giá khả năng sinh mã nguồn (Code Generation) tổng quát,x,
153,Code-Aware Prompting: A Study of Coverage-Guided Test Generation in Regression Setting using LLM,"Ryan, Gabriel; Jain, Siddhartha; Shang, Mingyue; Wang, Shiqi; Ma, Xiaofei; Ramanathan, Murali Krishna; Ray, Baishakhi",2024,Proceedings of the ACM on Software Engineering,"String A, String B, String C",INCLUDE,"IC-P, IC-I, IC-E (Dùng SymPrompt và GPT-4 sinh unit test Python cho kiểm thử hồi quy)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
154,CodeEduBench: A Multidimensional Benchmark for Evaluating AI-Driven Code Generation Models in C Programming Education,"Zhou, Yi; Shan, Zhenyu; Dai, Zeyao; Zhang, Zhao",2025,Proceedings of the 2025 International Conference on Artificial Intelligence and Educational Systems,String A,EXCLUDE,EC-O - Benchmark cho giáo dục lập trình C,x,
155,CodeFuse-13B: A Pretrained Multi-lingual Code Large Language Model,"Di, Peng; Li, Jianguo; Yu, Hang; Jiang, Wei; Cai, Wenting; Cao, Yang; Chen, Chaoyu; Chen, Dajun; Chen, Hongwei; Chen, Liang; Fan, Gang; Gong, Jie; Gong, Zi; Hu, Wen; Guo, Tingting; Lei, Zhichao; Li, Ting; Li, Zheng; Liang, Ming; Liao, Cong; Liu, Bingchang; Liu, Jiachen; Liu, Zhiwei; Lu, Shaojun; Shen, Min; Wang, Guangpei; Wang, Huan; Wang, Zhi; Xu, Zhaogui; Yang, Jiawei; Ye, Qing; Zhang, Gehao; Zhang, Yu; Zhao, Zelin; Zheng, Xunjin; Zhou, Hailian; Zhu, Lifu; Zhu, Xianying",2024,Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice,String A,INCLUDE,"IC-P, IC-I, IC-E (Đánh giá khả năng sinh testcase của mô hình CodeFuse)",EXCLUDE,"EC-O: Tác vụ chính là pre-training và tinh chỉnh mô hình lập trình đa tác vụ nền tảng (General Code LLM), không phải tác vụ tự động sinh kiểm thử"
156,CodeS: Natural Language to Code Repository via Multi-Layer Sketch,"Zan, Daoguang; Yu, Ailun; Liu, Wei; Chen, Dong; Shen, Bo; Yao, Yafen; Li, Wei; Chen, Xiaolin; Gong, Yongshun; Guan, Bei; Yang, Zhiguang; Wang, Yongji; Cui, Lizhen; Wang, Qianxiang",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC-O - Sinh toàn bộ repository từ ngôn ngữ tự nhiên, không tập trung vào unit test.",x,
157,Codellm-Devkit: A Framework for Contextualizing Code LLMs with Program Analysis Insights,"Krishna, Rahul; Pan, Rangeet; Sinha, Saurabh; Tamilselvam, Srikanth; Pavuluri, Raju; Vukovic, Maja",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A,EXCLUDE,EC-O - Khung làm việc hỗ trợ phân tích chương trình cho LLM,x,
158,CoderUJB: An Executable and Unified Java Benchmark for Practical Programming Scenarios,"Zeng, Zhengran; Wang, Yidong; Xie, Rui; Ye, Wei; Zhang, Shikun",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,INCLUDE,"IC-P, IC-I, IC-E (Benchmark cho Java bao gồm nhiệm vụ đánh giá khả năng sinh test case của LLM)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
159,Collaborative LLM Agents for End-to-End Software Development,"Garg, Shweta; Omidvar-Tehrani, Behrooz; Fu, Shengyu; Guinet, Gauthier; Ray, Baishakhi",2026,Companion Proceedings of the ACM Web Conference 2026,String A,EXCLUDE,EC-N - Bài tutorial về xây dựng agent phát triển phần mềm,x,
160,Combating Missed Recalls in E-commerce Search: A CoT-Prompting Testing Approach,"Wu, Shengnan; Hu, Yongxiang; Wang, Yingchuan; Gu, Jiazhen; Meng, Jin; Fan, Liujie; Luan, Zhongshi; Wang, Xin; Zhou, Yangfan",2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,String A,EXCLUDE,EC-O - Kiểm thử hệ thống tìm kiếm thương mại điện tử,x,
161,Comparative Analysis of Large Language Models for Context-Aware Code Completion using SAFIM Framework,"Zhang, Hang; Shen, Yanxin; Wang, Lun; Shi, Chuanqi; Du, Shaoshuai; Tao, Yiyi; Shen, Yixian",2025,Proceedings of the 2025 International Conference on Artificial Intelligence and Computational Intelligence,String A,EXCLUDE,EC-O - Hoàn thiện mã nguồn (Code Completion),x,
162,Compiler.next: A Search-Based Compiler to Power the AI-Native Future of Software Engineering,"Cogo, Filipe R.; Oliva, Gustavo A.; Hassan, Ahmed E.",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-N - Bài viết về tầm nhìn/định hướng cho trình biên dịch AI-native.,x,
163,ComplexCodeEval: A Benchmark for Evaluating Large Code Models on More Complex Code,"Feng, Jia; Liu, Jiachen; Gao, Cuiyun; Chong, Chun Yong; Wang, Chaozheng; Gao, Shan; Xia, Xin",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String A,INCLUDE,"IC-P, IC-I, IC-E (Benchmark bao gồm nhiệm vụ sinh unit test cho Java/Python)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
164,ConDefects: A Complementary Dataset to Address the Data Leakage Concern for LLM-Based Fault Localization and Program Repair,"Wu, Yonghao; Li, Zheng; Zhang, Jie M.; Liu, Yong",2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,String B,EXCLUDE,"EC-O - Tập dữ liệu cho định vị lỗi và sửa lỗi, không tập trung sinh unit test",x,
165,CoverFL: Enhancing Fault Localization via Deep Coverage Relation,"Chen, Wei; Liu, Jiamou; Zhao, Kaiqi; Zhang, Mingyue; Chen, Wu",2026,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-O - Định vị lỗi (Fault Localization),x,
166,CoverUp: Effective High Coverage Test Generation for Python,"Altmayer Pizzorno, Juan; Berger, Emery D.",2025,Proceedings of the ACM on Software Engineering,"String A, String B, String C",INCLUDE,"IC-P, IC-I, IC-E (Sinh regression unit test cho Python có độ bao phủ cao bằng LLM)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
167,Coverage-based Strategies for the Automated Synthesis of Test Scenarios for Conversational Agents,"Canizares, Pablo C.; Ávila, Daniel; Perez-Soler, Sara; Guerra, Esther; De Lara, Juan",2024,Proceedings of the 5th ACM/IEEE International Conference on Automation of Software Test (AST 2024),"String A, String B",EXCLUDE,EC-O - Sinh kịch bản kiểm thử cho tác nhân hội thoại (Chatbot),x,
168,CrossProbe: LLM-Empowered Cross-Project Bug Detection for Deep Learning Frameworks,"Guan, Hao; Bai, Guangdong; Liu, Yepang",2025,Proceedings of the ACM on Software Engineering,"String A, String B",EXCLUDE,EC-O - Kiểm thử lỗi trong khung làm việc Deep Learning,x,
169,Curiosity-Driven Testing for Sequential Decision-Making Process,"He, Junda; Yang, Zhou; Shi, Jieke; Yang, Chengran; Kim, Kisub; Xu, Bowen; Zhou, Xin; Lo, David",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String B,EXCLUDE,EC-O - Kiểm thử quy trình ra quyết định tuần tự (SDP),x,
170,DAInfer: Inferring API Aliasing Specifications from Library Documentation via Neurosymbolic Optimization,"Wang, Chengpeng; Zhang, Jipeng; Wu, Rongxin; Zhang, Charles",2024,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Suy luận đặc tả API từ tài liệu,x,
171,DSCode Comparator: An Interactive Interface for Comparing Models and Evaluating Code for Data Science Tasks,"Yu, Xinxin; Zhong, Victor; Crisan, Anamaria",2026,Proceedings of the 31st International Conference on Intelligent User Interfaces,String A,EXCLUDE,EC-O - Giao diện so sánh mã nguồn cho các tác vụ khoa học dữ liệu.,x,
172,Dark and Bright Side of Participatory Red-Teaming with Targets of Stereotyping for Eliciting Harmful Behaviors from Large Language Models,"Kim, Sieun; Jo, Yeeun; Na, Sungmin; Lim, Hyunseung; Lee, Eunchae; Choi, Yu Min; Cho, Soohyun; Hong, Hwajung",2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,String A,EXCLUDE,EC-O - Nghiên cứu về Red-teaming đối với các định kiến xã hội,x,
173,Data-Prompt Co-Evolution: Growing Test Sets to Refine LLM Behavior,"Lee, Minjae; Kahng, Minsuk",2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,String A,EXCLUDE,EC-O - Tiến hóa prompt và dữ liệu kiểm thử mô hình,x,
174,DataSpeck: An AI-Driven Human-in-the-Loop System for Automating Transformations in Data Conversion Workflows,"Rahman, Adil; Niinuma, Koichiro; Gupta, Aakar",2026,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,String A,EXCLUDE,EC-O - Hệ thống tự động hóa chuyển đổi dữ liệu,x,
175,De-duplicating Silent Compiler Bugs via Deep Semantic Representation,"Chen, Junjie; Fan, Xingyu; Yang, Chen; Liu, Shuang; Sun, Jun",2025,Proceedings of the ACM on Software Engineering,String B,EXCLUDE,EC-O - Loại bỏ trùng lặp lỗi trong trình biên dịch,x,
176,"Deep Learning Library Testing: Definition, Methods and Challenges","Zhang, Xiaoyu; Jiang, Weipeng; Shen, Chao; Li, Qi; Wang, Qian; Lin, Chenhao; Guan, Xiaohong",2025,ACM Computing Surveys,"String A, String B",EXCLUDE,EC-N - Bài tổng quan về kiểm thử thư viện Deep Learning,x,
177,DeepREST: Automated Test Case Generation for REST APIs Exploiting Deep Reinforcement Learning,"Corradini, Davide; Montolli, Zeno; Pasqua, Michele; Ceccato, Mariano",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B, String C",EXCLUDE,"EC-O - Kiểm thử REST API bằng học tăng cường (DRL), không phải LLM",x,
178,Demystifying LLM-Based Software Engineering Agents,"Xia, Chunqiu Steven; Deng, Yinlin; Dunn, Soren; Zhang, Lingming",2025,Proceedings of the ACM on Software Engineering,"String A, String B",EXCLUDE,EC-O - Tự động giải quyết issue trên GitHub (Agentless SWE),x,
179,Demystifying React Native Android Apps for Static Analysis,"Liu, Yonghui; Chen, Xiao; Liu, Pei; Samhi, Jordan; Grundy, John; Chen, Chunyang; Li, Li",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Phân tích tĩnh cho ứng dụng React Native Android,x,
180,Demystifying and Detecting Misuses of Deep Learning APIs,"Wei, Moshi; Harzevili, Nima Shiri; Huang, Yuekai; Yang, Jinqiu; Wang, Junjie; Wang, Song",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String A,EXCLUDE,EC-O - Phát hiện sử dụng sai API trong Deep Learning,x,
181,DepFuzz: Efficient Smart Contract Fuzzing with Function Dependence Guidance,"Ma, Chenyang; Song, Wei; Huang, Jeff",2025,Proceedings of the ACM on Programming Languages,"String A, String B",EXCLUDE,EC-O - Kiểm thử (fuzzing) hợp đồng thông minh,x,
182,Designing PairBuddy—A Conversational Agent for Pair Programming,"Robe, Peter; Kuttal, Sandeep Kaur",2022,ACM Transactions on Computer-Human Interaction,"String A, String B",EXCLUDE,EC-O - Tác nhân hội thoại hỗ trợ lập trình cặp (Pair Programming),x,
183,Detecting Code Smells using ChatGPT: Initial Insights,"Silva, Luciana Lourdes; Silva, Janio Rosa Da; Montandon, Joao Eduardo; Andrade, Marcus; Valente, Marco Tulio",2024,Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,String A,EXCLUDE,"EC-O - Phát hiện ""mùi"" mã nguồn (code smells)",x,
184,"Detecting, Creating, Repairing, and Understanding Indivisible Multi-Hunk Bugs","Xin, Qi; Wu, Haojun; Tang, Jinran; Liu, Xinyu; Reiss, Steven P.; Xuan, Jifeng",2024,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Phát hiện và sửa lỗi đa vị trí (Multi-hunk bugs),x,
185,Developing Critical Thinking with AI Coding Assistants: An Educational Experience focusing on Testing and Legacy Code,"Blasquez, Isabelle",2025,Proceedings of the 30th ACM Conference on Innovation and Technology in Computer Science Education V. 1,String A,EXCLUDE,"EC-O - Tập trung vào giáo dục và tư duy phản biện, không làm thực nghiệm sinh unit test theo PICO.",x,
186,Development and Utilization of AI-Enabled Automatic Programming Problem Generator Using the CodeRunner Plugin of Moodle,"Serato, Jay Vince Donoso; Sta. Romana, Cherry Lyn",2024,Proceedings of the 2024 10th International Conference on Education and Training Technologies,String A,EXCLUDE,EC-O - Sinh bài tập và test case phục vụ giáo dục lập trình,x,
187,DiaVio: LLM-Empowered Diagnosis of Safety Violations in ADS Simulation Testing,"Lu, You; Tian, Yifan; Bi, Yuyang; Chen, Bihuan; Peng, Xin",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,EXCLUDE,EC-O - Chẩn đoán vi phạm an toàn trong kiểm thử mô phỏng lái xe tự động,x,
188,Directed Real-time Linux Fuzzing with Configuration Awareness,"Shen, Yuheng; Liu, Jianzhong; Chen, Yuhan; Zhang, Qiang; Wang, Runzhe; Shi, Heyuan; Jiang, Yu",2025,ACM Transactions on Embedded Computing Systems,"String A, String B, String C",EXCLUDE,EC-O - Kiểm thử nhân hệ điều hành Linux (Rt-Linux),x,
189,DivLog: Log Parsing with Prompt Enhanced In-Context Learning,"Xu, Junjielong; Yang, Ruichun; Huo, Yintong; Zhang, Chengyu; He, Pinjia",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,"String A, String B",EXCLUDE,EC-O - Phân tách log (Log Parsing) không phải unit test.,x,
190,Do Automatic Comment Generation Techniques Fall Short? Exploring the Influence of Method Dependencies on Code Understanding,"Billah, Md Mustakim; Rahman, Md Shamimur; Roy, Banani",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,String A,EXCLUDE,EC-O - Sinh chú thích mã nguồn (Comment generation),x,
191,Doc2OracLL: Investigating the Impact of Documentation on LLM-Based Test Oracle Generation,"Hossain, Soneya Binta; Taylor, Raygan; Dwyer, Matthew",2025,Proceedings of the ACM on Software Engineering,String A,INCLUDE,"IC-P, IC-I, IC-E (Sinh test oracle cho unit test Java dựa trên Javadoc bằng LLM)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
192,Does Every Computer Scientist Need to Know Formal Methods?,"Broy, Manfred; Brucker, Achim D.; Fantechi, Alessandro; Gleirscher, Mario; Havelund, Klaus; Kuppe, Markus Alexander; Mendes, Alexandra; Platzer, André; Ringert, Jan Oliver; Sullivan, Allison",2025,Formal Aspects of Computing,String A,EXCLUDE,EC-N - Bài viết định hướng về giáo dục phương pháp hình thức,x,
193,Domain Adaptation for Code Model-Based Unit Test Case Generation,"Shin, Jiho; Hashtroudi, Sepehr; Hemmati, Hadi; Wang, Song",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,"String A, String B, String C",INCLUDE,"IC-P, IC-I, IC-E (Dùng CodeT5 và Domain Adaptation để sinh unit test Java)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
194,Drowzee: Metamorphic Testing for Fact-Conflicting Hallucination Detection in Large Language Models,"Li, Ningke; Li, Yuekang; Liu, Yi; Shi, Ling; Wang, Kailong; Wang, Haoyu",2024,Proceedings of the ACM on Programming Languages,String A,EXCLUDE,"EC-O - Kiểm thử hiện tượng ảo giác (Hallucination) của LLM, không phải unit test mã nguồn.",x,
195,EPSC: Testing Database Management Systems via Equivalent Prepared Statement Construction,"Zhang, Chi; Liang, Jie; Wu, Zhiyong; Shi, Dalong; Wang, Linzhang; Jiang, Yu",2026,Proceedings of the ACM on Management of Data,String A,EXCLUDE,EC-O - Kiểm thử hệ quản trị cơ sở dữ liệu (DBMS),x,
196,EffFix: Efficient and Effective Repair of Pointer Manipulating Programs,"Zhang, Yuntong; Costea, Andreea; Shariffdeen, Ridwan; McCall, Davin; Roychoudhury, Abhik",2025,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-O - Tự động sửa lỗi chương trình (APR) cho thao tác con trỏ,x,
197,Effective On-Hardware Fuzzing of Embedded Operating Systems,"Shen, Yuheng; Liu, Jianzhong; Guo, Qiming; Chu, Yifei; Zhang, Qiang; Shi, Heyuan; Jiang, Yu",2026,Proceedings of the 21st European Conference on Computer Systems,String B,EXCLUDE,EC-O - Kiểm thử hệ điều hành nhúng,x,
198,"Effective, Platform-Independent GUI Testing via Image Embedding and Reinforcement Learning","Yu, Shengcheng; Fang, Chunrong; Li, Xin; Ling, Yuchen; Chen, Zhenyu; Su, Zhendong",2024,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-O - Kiểm thử giao diện (GUI) đa nền tảng,x,
199,Efficient Directed Hybrid Fuzzing via Target-Centric Seed Selection and Generation,"Li, Zhen; Liu, Shenghan; Yi, Qiuping; Du, Pengbo; Liang, Hongliang",2026,Proceedings of the ACM on Programming Languages,"String A, String B",EXCLUDE,EC-O - Kiểm thử Fuzzing lai hướng mục tiêu để tìm lỗ hổng,x,
200,"Efficient and Green Large Language Models for Software Engineering: Literature Review, Vision, and the Road Ahead","Shi, Jieke; Yang, Zhou; Lo, David",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-N - Bài tổng quan và định hướng về LLM xanh/hiệu quả cho SE.,x,
201,Efficient and Robust Security-Patch Localization for Disclosed OSS Vulnerabilities with Fine-Tuned LLMs in an Industrial Setting,"Ran, Dezhi; Li, Lin; Zhu, Liuchuan; Cao, Yuan; Zhao, Landelong; Tan, Xin; Liang, Guangtai; Wang, Qianxiang; Xie, Tao",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A,EXCLUDE,EC-O - Định vị bản vá bảo mật cho phần mềm nguồn mở,x,
202,Emerging Compiler Testing Based on Test Case Reuse,"Zhu, Kelin; Wang, Yu; Wang, Linzhang; Li, Xuandong",2025,Proceedings of the 16th International Conference on Internetware,"String A, String B, String C",EXCLUDE,"EC-O - Kiểm thử trình biên dịch cho ngôn ngữ mới (Carbon), không phải unit test Java/Python",x,
203,Enabling Cost-Effective UI Automation Testing with Retrieval-Based LLMs: A Case Study in WeChat,"Feng, Sidong; Lu, Haochuan; Jiang, Jianqin; Xiong, Ting; Huang, Likun; Liang, Yinglin; Li, Xiaoqin; Deng, Yuetang; Aleti, Aldeida",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String A,EXCLUDE,EC-O - Kiểm thử giao diện ứng dụng di động WeChat,x,
204,Engaging Developers in Exploratory Unit Testing through Gamification,"Straubinger, Philipp; Fraser, Gordon",2024,"Proceedings of the 3rd ACM International Workshop on Gamification in Software Development, Verification, and Validation","String A, String B",EXCLUDE,"EC-O - Trò chơi hóa kiểm thử đơn vị, không sử dụng LLM",x,
205,Enhanced Web Testing with LLMs: A Research Roadmap,"Wang, Weizhe; Guo, Zhenqi; Yan, Qingyang; Yang, Zenghao; Zhang, Yao; Xu, Guangquan; Li, Xiaoming; Wu, Bin",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-N - Lộ trình nghiên cứu về kiểm thử Web,x,
206,Enhancing APR with PRISM: A Semantic-Based Approach to Overfitting Patch Detection,"Song, Dowon; Oh, Hakjoo",2025,Proceedings of the ACM on Programming Languages,"String A, String B",EXCLUDE,EC-O - Phát hiện bản vá quá khớp (overfitting) trong APR,x,
207,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"Zhang, Junwei; Hu, Xing; Gao, Cuiyun; Xia, Xin; Li, Shanping",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C",EXCLUDE,EC-N - Bài tổng quan hệ thống (SLR) về sinh unit test bằng LLM,x,
208,Enhancing Differential Testing with LLMs for Testing Deep Learning Libraries,"Li, Meiziniu; Li, Dongze; Liu, Jianmeng; Cao, Jialun; Tian, Yongqiang; Cheung, Shing-Chi",2026,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-O - Kiểm thử vi sai (Differential Testing) cho thư viện Deep Learning,x,
209,Enhancing Human-IDE Interaction in the SDLC using LLM-based Mediator Agents,"Li, Ziyou; Izadi, Maliheh",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String B,EXCLUDE,EC-O - Tác nhân trung gian hỗ trợ tương tác người-IDE trong SDLC,x,
210,Enhancing REST API Testing with NLP Techniques,"Kim, Myeongsoo; Corradini, Davide; Sinha, Saurabh; Orso, Alessandro; Pasqua, Michele; Tzoref-Brill, Rachel; Ceccato, Mariano",2023,Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis,"String A, String B, String C",EXCLUDE,EC-O - Kiểm thử REST API bằng kỹ thuật NLP,x,
211,Enhancing Web Accessibility: Automated Detection of Issues with Generative AI,"He, Ziyao; Huq, Syed Fatiul; Malek, Sam",2025,Proceedings of the ACM on Software Engineering,String B,EXCLUDE,EC-O - Kiểm thử khả năng tiếp cận (accessibility) trang web,x,
212,Enhancing the Efficiency of Automated Program Repair via Greybox Analysis,"Kim, YoungJae; Park, Yechan; Han, Seungheon; Yi, Jooyong",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B, String C",EXCLUDE,EC-O - Tập trung vào hiệu quả của sửa lỗi chương trình tự động (APR),x,
213,Enhancing the Resiliency of Automated Web Tests with Natural Language,"Ayli, Maroun; Bakouny, Youssef; Jalloul, Nader; Kilany, Rima",2024,"Proceedings of the 2024 4th International Conference on Artificial Intelligence, Automation and Algorithms",String A,EXCLUDE,EC-O - Kiểm thử Web tự động (Selenium) không phải unit testing,x,
214,Evaluating API-Level Deep Learning Fuzzers: A Comprehensive Benchmarking Study,"Harzevili, Nima Shiri; Wei, Moshi; Mohajer, Mohammad Mahdi; Pham, Hung Viet; Wang, Song",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C",EXCLUDE,EC-O - Đánh giá các công cụ fuzzing cho API Deep Learning,x,
215,Evaluating Capabilities and Perspectives of Generative AI Tools in Smart Contract Development,"Khalid, Shawal; Brown, Chris",2025,Proceedings of the 7th ACM International Symposium on Blockchain and Secure Critical Infrastructure,String B,EXCLUDE,"EC-O - Đánh giá sinh mã nguồn hợp đồng thông minh, không tập trung sinh unit test",x,
